sku	asin	price	quantity
19485100	B007JQFMPG	69.99	7
19492100	B007JQEUPY	24.99	14
19494100	B00KZDLT8Y	79.99	13
19499100	B007JQEV0I	54.99	54
19539100	B005FQMOHG	29.99	9
19548100	B005FQI3K8	29.99	17
19549100	B005FQMNE0	29.99	72
19551100	B005FQMN40	29.99	19
19565100	B007JQFNA0	29.99	29
196022500	B01CQ24SF2	69.99	22
196023500	B01CQ28NL2	29.99	8
19611100	B007BKZ1T2	21.99	10
19612100	B00KZDMBVS	19.99	57
19614100	B008DDSGO8	29.99	23
19615100	B008MVW3JK	19.99	26
19617100	B008MVW2IW	24.99	8
19618100	B00820HM3I	29.99	11
19622100	B00820HLS4	34.99	11
19629100	B007JQFKNK	14.99	11
19630100	B007JQFKOO	29.99	12
19631100	B007JQFK6M	14.99	5
19633100	B007JQFKOE	27.99	10
19635100	B007JQFK62	19.99	9
19639100	B007BKY256	19.99	11
19648100	B007BL1M7G	24.99	8
19651100	B005FQMMZU	29.99	19
19652100	B005FWT8IS	29.99	21
19654100	B007JQFMZ6	35.99	9
19657100	B005FW607A	49.99	20
19659100	B005FW60OS	49.99	15
19660100	B005FW60DE	49.99	10
19667100	B007JQFH1U	29.99	36
19775100	B01D4LSDPU	19.99	8
19883100	B007JQFGE8	14.99	3
19884100	B007JQFGDE	14.99	6
19885100	B007JQFH2E	14.99	7
19886100	B007JQFH1A	14.99	6
19887100	B007JQFGF2	14.99	8
19895100	B00ADHGJR8	19.99	10
19940100	B007JQFOZY	19.99	15
19943100	B008MVVP2G	79.99	9
19978100	B007JQEX1U	17.99	10
19979100	B008MVVI1Y	17.99	98
19981100	B007JQEXE2	17.99	8
20016100	B00ADHG69Y	17.99	11
20023100	B00ADHG74I	17.99	25
20024100	B00ADHG75M	17.99	25
20025100	B00BWOH47A	17.99	30
20027100	B008MVVH9W	17.99	7
20028100	B008MVVH7O	27.99	10
20029100	B00D2IIWKC	19.99	11
20030100	B008MVVH92	19.99	11
20037100	B008FC6Z40	24.99	16
20039100	B008MVVZZS	24.99	115
20042100	B008MVVXHI	24.99	28
20043100	B008MVVY3Q	24.99	28
20044100	B008MVVY4K	24.99	193
20045100	B008MVVYQI	24.99	110
20048100	B008MVVY4U	29.99	29
20051100	B008FC6ORI	29.99	15
20052100	B008FC66OY	29.99	35
20056100	B008MVW0LQ	29.99	17
20060100	B00KZDNXN8	29.99	15
20063100	B008MVW57U	79.99	8
20064100	B008MVVIXM	79.99	10
20065100	B00KZDO13O	79.99	6
20077100	B008MVW1ME	29.99	8
20078100	B008MVW1M4	29.99	13
20093100	B008MVVIZU	74.99	16
20094100	B008MVVIX2	49.99	10
20113100	B008MVW2JG	29.99	8
2015010100	B0002SMM4W	39.99	46
2015012500	B0045FYFH0	59.99	22
20151100	B008MVW0LG	24.99	73
20207100	B00BQTX420	21.99	11
20208100	B00BQTX45C	24.99	6
20209100	B00BQTX42U	19.99	7
20211100	B00BQTX55Q	19.99	6
20212100	B00BQTX556	39.99	7
20213100	B00BQTX56A	29.99	9
20214100	B00BQTX538	34.99	7
20217100	B00BQTX5ZQ	24.99	10
20259100	B00BQTXDBW	27.99	9
20263100	B00ESX6SZ6	14.99	1
20265100	B00C9W6EV6	14.99	9
20275100	B00ESX6XT2	14.99	71
20349100	B00BQTXHYU	39.99	122
2035030500	B00KP9KG3M	49.99	24
20351100	B00BQTY3HA	54.99	14
20352100	B00BQTY3MK	79.99	10
20353100	B00BQTY4NI	119.99	6
20377100	B00ESX70OO	15.99	9
20382100	B00ESX6XTW	15.99	8
20389100	B00DY497WG	17.99	30
20390100	B00BQTXPMY	45.99	73
20391100	B00KZDPLP6	37.99	25
20392100	B00BQTXPME	27.99	21
20396100	B00E8ADXES	79.99	8
20409100	B00KLFAX7E	27.99	11
20410100	B00KLFB0E4	49.99	7
20411100	B00KLF6O7M	27.99	11
20412100	B00KLF6NWI	49.99	28
20413100	B00KLF6S0U	14.99	10
20415100	B00K6EF5IW	19.99	13
20416100	B00KLF8YV6	24.99	17
20417100	B00KLFC54I	29.99	13
20418100	B00BQTWUSE	27.99	14
20438100	B00ESX6HF2	14.99	10
20440100	B00DY49Y1U	27.99	10
2045030500	B00KP9KA4W	49.99	146
20460100	B00E8ADS4I	79.99	8
20461100	B00KZDQABK	99.99	10
20475100	B00BQTXUKQ	14.99	10
20477100	B00BQTXVV4	24.99	8
20487100	B00E8ADLAY	99.99	16
20515100	B00EIBAKG6	29.99	7
20538100	B00BQTWWZ0	29.99	13
20540100	B00BQTWWXC	29.99	17
20541100	B00BQTWWX2	29.99	18
20549100	B00KLF59Q4	24.99	6
20603100	B00ESX4TBG	64.99	137
20604100	B00KZDRGEU	64.99	9
20605100	B00ESX4I5S	79.99	5
206051100	B07NZY2M2F	89.99	5
20619100	B00ESX762A	17.99	46
20624100	B00E8ADZWS	69.99	31
20625100	B00E8ADZU0	69.99	14
20626100	B00E8ADZXW	69.99	11
20628100	B00E8AE28Y	69.99	10
20630100	B00E8AE29I	69.99	7
20631100	B00E8AE25M	69.99	37
20633100	B00KLFB04Y	19.99	11
20640100	B00KLF6NTG	19.99	19
20641100	B00KLF59NW	19.99	16
20648100	B00ESX64F0	19.99	32
20681100	B00ESX7VBG	14.99	9
20821100	B00ESX5668	39.99	9
20877100	B00KLFA8J2	19.99	41
20883100	B00K6OB6I0	19.99	132
20884100	B00KBRS6DU	29.99	12
20885100	B00KLFACKM	34.99	12
20886100	B00KLFARMU	34.99	18
20887100	B00K6O5TM4	19.99	8
20888100	B00KLFACQ6	19.99	174
20889100	B00KLFARMK	34.99	15
20891100	B00KLFA928	34.99	7
20892100	B00KLFAN7E	19.99	25
20893100	B00JBEX6QQ	44.99	10
20894100	B00KLFACQG	24.99	30
20895100	B00KLFAD4C	54.99	7
20896100	B00KLFAIPG	15.99	59
20898100	B00KLFAN4C	19.99	6
20907100	B00K4YZ1GU	149.99	8
20924100	B00N4XS4KS	99.99	11
20925100	B00KLFCSRW	59.99	51
20926100	B00KLF5DII	79.99	6
209261100	B07NZY2R47	79.99	3
20959100	B00NHWSTVA	24.99	51
20960100	B00NHMLR0K	24.99	11
20961100	B00N4XMES6	24.99	31
20964100	B00NGZ7GG2	24.99	38
20965100	B00NGZ7LHG	24.99	12
20968100	B00LOVXW8Q	24.99	13
20981100	B00K4YZ1II	19.99	11
20982100	B00K4YZ5E8	19.99	8
2102167100	B004XHUQOQ	19.99	190
2102168100	B00CWZPVLO	19.99	99
2102172100	B01CPHPVYA	19.99	4
21089100	B00K6EFWGM	17.99	10
21207100	B00K6EG4QE	19.99	22
21212100	B00K6ED1RY	19.99	7
21222100	B00K6ED81S	19.99	8
21227100	B00K6EDAWA	19.99	9
21279100	B00K4Z0AGA	29.99	9
21287100	B00K6EGFOA	24.99	7
21295100	B00KLFBXZK	24.99	11
21305100	B00K7XRTWM	17.99	14
21387100	B00KLF6YHM	19.99	40
21397100	B00K6EGUQ8	39.99	29
21400100	B00O8OQZRG	39.99	13
21402100	B00KLFCFHU	39.99	7
21403100	B00O8OQ33M	39.99	8
21404100	B00KLFCSU4	39.99	7
21413100	B00NW82KDW	24.99	7
21432100	B00KLFAUY0	29.99	16
21433100	B00KLF6OD6	29.99	220
21534100	B00TQQ2VD8	19.99	8
21540100	B00TQRC3RG	29.99	14
21545100	B00TQQ2WPK	39.99	10
21546100	B00TQQ2WM8	39.99	9
21549100	B00TQQ2WSW	49.99	9
21550100	B00TQQ2WTQ	49.99	7
21551100	B00TQQ2WPA	24.99	10
21553100	B00TQQ2WT6	24.99	7
21555100	B00TQQ2Y9E	27.99	8
21569100	B00TQQ302O	19.99	12
21572100	B00TQQ3042	17.99	7
21585100	B00TZSVM00	29.99	12
21586100	B00TZSVM2I	29.99	5
21638100	B00TZSVOF8	29.99	13
21639100	B00TZSVPJI	29.99	14
21644100	B00TQQ3DW6	17.99	96
21661100	B00TQQ3NGM	17.99	8
21685100	B00TQQ3TY8	39.99	8
21716100	B00TQQ465Y	24.99	11
21720100	B00TQQ49MO	24.99	28
21723100	B00TQQ49O2	19.99	9
21730100	B00TQQ4CIU	45.99	9
21731100	B00TQQ4CGW	34.99	7
21733100	B00TQQ4DQ6	99.99	8
21735100	B00TQQ4DR0	81.99	3
21736100	B00VM56J70	69.99	9
21743100	B00XWKX7LE	54.99	9
21746100	B00VM56PR4	54.99	8
21746102	B00VM56PR4	43.99	8
21747100	B00TQQ4GFE	54.99	13
21748100	B00VM56PK6	54.99	40
21749100	B00VM56PE2	54.99	13
21750100	B00VM56XX0	54.99	32
21751100	B00TQQ4HQC	54.99	10
21752100	B00TQQ4HRQ	54.99	63
21758100	B00TQQ4KAK	54.99	6
