SKU,Qty Sold,GMV
"83770500","7","29,35 "
"19565100","2","50,40 "
"64126100","10","25,13 "
"24367100","1","13,44 "
"69299800","5","113,40 "
"23891100","9","98,24 "
"21714100","1","8,40 "
"4468310100","2","33,60 "
"24138100","12","151,16 "
"21201100","2","21,83 "
"54124100","1","67,22 "
"24223100","8","67,16 "
"22146100","49","617,23 "
"72081500","1","8,40 "
"23746100","149","3.755,05 "
"19581100","24","100,64 "
"24007100","5","83,99 "
"69371800","1","24,36 "
"21825100","2","21,83 "
"23125100","1","21,00 "
"23887100","2","6,71 "
"87144500","3","25,19 "
"53054100","9","113,37 "
"87949500","14","117,53 "
"43821060100","6","40,29 "
"3440003100","9","113,37 "
"20915100","2","8,39 "
"20956100","1","3,35 "
"4251010500","4","100,81 "
"18415100","7","117,59 "
"69120800","1","25,20 "
"22077100","6","30,20 "
"86870500","1","21,00 "
"7426500","12","151,16 "
"12102100","1","21,00 "
"21222100","1","16,80 "
"24010100","13","54,51 "
"23656100","1","12,60 "
"81630500","3","25,19 "
"23936100","1","3,35 "
"21207100","3","50,39 "
"4031020500","1","12,60 "
"23924100","26","283,82 "
"19621100","2","20,15 "
"4920220100","13","27,20 "
"23960100","4","30,22 "
"23912100","1","8,40 "
"23734100","15","100,71 "
"23952100","5","117,61 "
"18775100","3","42,83 "
"3440032100","4","100,81 "
"24321100","1","10,08 "
"19884100","22","277,13 "
"23980100","2","33,60 "
"18451100","1","29,40 "
"3707505100","10","25,13 "
"19683100","18","22,54 "
"23267100","4","40,30 "
"24172100","6","65,50 "
"24368100","3","63,00 "
"3906010500","450","3.021,44 "
"17213206100","53","133,17 "
"19637100","44","554,25 "
"23821100","9","113,37 "
"69397800","2","38,64 "
"17677100","2","21,83 "
"21113100","2","11,75 "
"86520500","1","5,87 "
"23660100","13","109,14 "
"1942010100","2","8,39 "
"7450023100","1","21,00 "
"23786100","2","10,07 "
"19210100","61","614,61 "
"19293100","5","75,59 "
"7446201500","3","25,19 "
"19290100","10","151,18 "
"23565100","26","546,00 "
"50220100","3","45,35 "
"23595100","3","50,39 "
"21824100","11","120,08 "
"22575100","5","25,17 "
"24400100","1","6,71 "
"21102100","9","26,40 "
"20388100","5","20,13 "
"20474100","3","25,19 "
"21937100","19","23,79 "
"5825500500","1","16,80 "
"22286100","1","33,61 "
"69408800","7","158,76 "
"22942100","1","12,60 "
"24391100","3","126,03 "
"69477800","1","33,61 "
"23966100","3","50,39 "
"21839100","12","151,16 "
"22637100","3","45,35 "
"2521507500","2","50,40 "
"2767010100","1","42,01 "
"3751900100","5","20,97 "
"64522100","70","411,17 "
"20437100","2","16,79 "
"3610010500","3","25,19 "
"50620100","1","23,52 "
"17842100","1","6,71 "
"21534100","16","268,77 "
"23333100","1","13,44 "
"23925100","4","50,39 "
"20861100","4","13,41 "
"3907011500","21","105,71 "
"19269100","1","4,19 "
"3620117100","8","100,77 "
"22898100","1","8,40 "
"23856100","8","188,17 "
"20022100","1","6,71 "
"22517100","11","120,08 "
"23958100","4","33,58 "
"53257100","8","87,33 "
"22162100","13","87,29 "
"2748130100","18","120,86 "
"21988100","1","58,82 "
"8523500","1","8,40 "
"20369100","1","3,35 "
"54088100","1","8,40 "
"69518800","1","26,88 "
"19887100","14","176,35 "
"4380440100","2","10,07 "
"76011500","3","32,75 "
"22321100","1","50,41 "
"21100100","1","2,51 "
"64512100","6","30,20 "
"23645100","5","29,37 "
"54839100","1","21,00 "
"21773100","1","67,22 "
"20340100","27","90,53 "
"87940500","62","364,18 "
"86810500","6","50,37 "
"7301100","4","20,13 "
"22919100","13","98,21 "
"22645100","9","136,06 "
"23562100","11","27,64 "
"2102159100","1","5,03 "
"64127100","3","7,54 "
"23857100","9","98,24 "
"69444800","1","58,82 "
"7969500","8","67,16 "
"17795100","1","15,12 "
"50615100","67","1.125,49 "
"22427100","1","6,71 "
"23580100","1","5,87 "
"289212100","17","185,57 "
"22956100","15","226,76 "
"16066100","19","39,76 "
"65001100","1","6,71 "
"140841500","1","6,71 "
"23962100","7","20,53 "
"20888100","1","16,80 "
"24345100","1","16,80 "
"22958100","7","35,24 "
"69118800","1","19,32 "
"17678100","69","753,20 "
"19610100","5","54,58 "
"86342500","28","235,06 "
"87643500","10","50,34 "
"18937100","4","60,47 "
"25060500","1","12,60 "
"63057100","1","4,19 "
"22503100","2","21,83 "
"50241100","1","15,12 "
"69399800","3","60,48 "
"21109100","73","306,11 "
"2712077500","3","63,00 "
"19208100","25","335,93 "
"2302100","20","251,93 "
"5410120500","14","211,65 "
"63025100","3","63,00 "
"69287800","10","226,81 "
"24166100","2","33,60 "
"20438100","4","50,39 "
"2205010100","3","22,66 "
"22249100","27","226,67 "
"7158222800","1","16,80 "
"3751939500","7","58,77 "
"88091500","1","12,60 "
"23965100","2","16,79 "
"2712929500","1","25,20 "
"79582500","60","503,20 "
"86795500","3","37,79 "
"8293500","4","117,61 "
"64530100","3","151,24 "
"50712100","2","168,05 "
"22832100","34","342,57 "
"23828100","1","50,41 "
"53011100","3","7,54 "
"3620115100","8","100,77 "
"23135100","23","173,76 "
"18575100","1","18,48 "
"69434800","1","16,80 "
"7694500","4","26,86 "
"21901100","2","33,60 "
"4418030100","1","1,67 "
"50482100","1","100,83 "
"2345100","7","76,41 "
"19877100","12","90,66 "
"1025091100","27","181,29 "
"22681100","107","1.617,58 "
"5617020500","6","65,50 "
"86720500","3","25,19 "
"63001100","27","340,11 "
"23593100","5","67,19 "
"22025100","1","21,00 "
"7379500","2","42,00 "
"24075800","367","8.643,97 "
"2712947500","1","25,20 "
"20880100","24","261,98 "
"22051100","21","158,65 "
"22086100","1","33,61 "
"3620116100","2","25,19 "
"23941100","1","8,40 "
"24106100","1","3,35 "
"24341100","1","25,20 "
"82270500","17","357,00 "
"19900100","11","83,10 "
"4065330500","3","15,10 "
"22694100","1","33,61 "
"23923100","10","100,76 "
"22147100","23","289,72 "
"1025012100","5","14,66 "
"3512010500","6","60,45 "
"16636100","33","471,15 "
"21661100","5","75,59 "
"8304500","1","16,80 "
"22922100","1","3,35 "
"2521509500","1","25,20 "
"24344100","3","75,61 "
"17971100","1","33,61 "
"53258100","8","100,77 "
"69255800","1","25,20 "
"15298100","1","4,19 "
"2748140100","6","75,58 "
"5911500","8","403,29 "
"2201010100","5","12,56 "
"21800100","1","7,55 "
"87660500","2","16,79 "
"24017100","17","114,14 "
"22686100","5","147,02 "
"22920100","34","285,43 "
"23784100","5","37,77 "
"4378110100","10","33,53 "
"21935100","32","93,85 "
"87120500","99","2.494,97 "
"19613100","3","50,39 "
"22124100","1","33,61 "
"53245100","29","243,46 "
"54703100","27","340,11 "
"2126300800","1","16,80 "
"62094100","1","33,61 "
"20890100","21","229,24 "
"23201100","3","30,23 "
"50584100","1","21,00 "
"23612100","22","110,74 "
"54025100","1","8,40 "
"17938100","1","8,40 "
"3512011500","3","30,23 "
"24035100","4","60,47 "
"20885100","4","117,61 "
"20208100","1","21,00 "
"3702100","32","537,55 "
"71964500","62","780,99 "
"23855100","13","141,91 "
"69441800","1","42,01 "
"2902100500","1767","14.833,97 "
"76013500","3","32,75 "
"23977100","59","346,56 "
"23760100","1","12,60 "
"24009100","62","937,29 "
"20981100","7","117,59 "
"23091100","4","134,42 "
"23984100","8","100,77 "
"24283100","2","33,60 "
"18931100","12","100,74 "
"2521480100","1","25,20 "
"7199003500","41","275,29 "
"54087100","6","40,29 "
"43821020100","6","226,84 "
"23533100","1","25,20 "
"19888100","29","365,30 "
"23652100","40","403,02 "
"19947100","6","35,24 "
"69330800","1","30,24 "
"24147100","14","305,76 "
"17213205100","10","25,13 "
"21832100","7","35,24 "
"4468060100","115","1.448,61 "
"63058100","5","29,37 "
"17921100","21","264,53 "
"86980500","3","20,14 "
"24239100","2","33,60 "
"23854100","2","47,04 "
"23986100","15","100,71 "
"21388100","3","37,79 "
"8336500","1","16,80 "
"87670500","2","42,00 "
"22409100","12","403,26 "
"76053500","13","163,76 "
"22791100","51","385,28 "
"19297100","1","4,19 "
"53000100","1","5,87 "
"50624100","11","110,83 "
"69460800","5","83,99 "
"21886100","4","26,86 "
"3902020100","35","111,47 "
"23126100","5","54,58 "
"50459100","7","58,77 "
"21572100","9","136,06 "
"23175100","18","90,60 "
"20979100","11","138,56 "
"2340100","4","43,66 "
"3823010500","10","125,97 "
"23968100","2","13,43 "
"1241140500","3","32,75 "
"23355100","51","856,71 "
"23524100","19","287,23 "
"23319100","2","16,79 "
"23571100","2","92,42 "
"23417100","1","18,48 "
"20304100","8","26,82 "
"54730100","5","41,98 "
"23653100","10","58,74 "
"20024100","3","45,35 "
"22242100","2","10,07 "
"22445100","7","88,18 "
"420525500","5","62,98 "
"2521455500","8","201,61 "
"18771100","8","80,60 "
"22540100","12","90,66 "
"22197100","15","75,50 "
"84830500","10","83,95 "
"21279100","1","25,20 "
"22454100","1","10,92 "
"23614100","24","120,81 "
"69289800","2","38,64 "
"16751100","15","125,93 "
"20884100","1","25,20 "
"62090100","7","235,24 "
"23279100","6","60,45 "
"20371100","1","4,19 "
"3792766100","1","6,71 "
"87625500","20","218,32 "
"22866100","1","16,80 "
"24240100","4","67,19 "
"19882100","8","60,44 "
"812822500","12","130,99 "
"85239500","93","1.171,48 "
"85192500","1","16,79 "
"17982100","1","8,40 "
"23847100","10","151,18 "
"69193800","1","19,32 "
"8199100","4","100,81 "
"62081100","1","50,41 "
"14384100","20","83,87 "
"22437100","4","40,30 "
"63005100","11","277,22 "
"24112100","2","10,07 "
"8297500","3","75,61 "
"16633100","8","302,45 "
"18171100","2","30,24 "
"69292800","5","138,61 "
"83710500","9","52,87 "
"7879500","1","37,81 "
"23364100","4","168,03 "
"19977100","4","33,58 "
"23970100","2","11,75 "
"23974100","1","7,55 "
"3760704100","10","25,13 "
"4880022500","14","70,47 "
"23913100","4","100,81 "
"2005570100","2","13,43 "
"87021500","1","10,92 "
"17845100","5","33,57 "
"69291800","2","38,64 "
"24171100","20","302,35 "
"22248100","10","125,97 "
"23700100","4","43,66 "
"24395100","1","33,61 "
"84930500","1","8,40 "
"3512013500","17","171,29 "
"86560500","3","25,19 "
"8258500","11","92,35 "
"18915100","2","50,40 "
"23344100","4","100,81 "
"63033500","4","33,58 "
"140840100","1","4,19 "
"21719100","13","163,76 "
"21848100","3","37,79 "
"23647100","6","35,24 "
"23963100","5","29,37 "
